last_updated,name,address,rating,description,distance,place_id,hours,allHours
2025-04-24T13:55:00.156992,Jarabe - Taqueria,"1104 West Taylor Street, Chicago",4.5,,0.37,ChIJ97LFfG4tDogRNbWOcTA_pFc,"Monday: 8:30 AM – 9:00 PM
Tuesday: 8:30 AM – 9:00 PM
Wednesday: 8:30 AM – 9:00 PM
Thursday: 8:30 AM – 9:00 PM
Friday: 8:30 AM – 9:00 PM
Saturday: 8:30 AM – 9:00 PM
Sunday: Closed","Monday: 8:30 AM – 9:00 PM
Tuesday: 8:30 AM – 9:00 PM
Wednesday: 8:30 AM – 9:00 PM
Thursday: 8:30 AM – 9:00 PM
Friday: 8:30 AM – 9:00 PM
Saturday: 8:30 AM – 9:00 PM
Sunday: Closed"
2025-04-24T13:55:00.295630,Flames Grill,"Curtis Granderson Stadium, 901 West Roosevelt Road, Chicago",5,,0.38,ChIJVddx-aAtDogRQ5PTKK74EqQ,,
2025-04-24T13:55:00.431576,9 Muses Bar & Grill,"315 South Halsted Street, Chicago",4.6,,0.38,ChIJ_QQbw8IsDogRM810deNaiss,"Monday: 11:00 AM – 10:30 PM
Tuesday: 11:00 AM – 10:30 PM
Wednesday: 11:00 AM – 10:30 PM
Thursday: 11:00 AM – 10:30 PM
Friday: 11:00 AM – 12:00 AM
Saturday: 12:00 PM – 12:00 AM
Sunday: 12:00 – 10:30 PM","Monday: 11:00 AM – 10:30 PM
Tuesday: 11:00 AM – 10:30 PM
Wednesday: 11:00 AM – 10:30 PM
Thursday: 11:00 AM – 10:30 PM
Friday: 11:00 AM – 12:00 AM
Saturday: 12:00 PM – 12:00 AM
Sunday: 12:00 – 10:30 PM"
2025-04-24T13:55:00.517219,Borscht u Diani,"315 South Peoria Street, Chicago",,,0.39,ChIJo_ClfNktDogRct4mnUFsEWo,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
2025-04-24T13:55:00.623301,Xi'an Cuisine,"769 West Jackson Boulevard Unit 103, Chicago",4.3,,0.4,ChIJw9nJYKItDogRZKWP1BJcSsE,"Monday: 11:00 AM – 9:30 PM
Tuesday: 11:00 AM – 9:30 PM
Wednesday: 11:00 AM – 9:30 PM
Thursday: 11:00 AM – 9:30 PM
Friday: 11:00 AM – 9:30 PM
Saturday: 11:00 AM – 9:30 PM
Sunday: 11:00 AM – 9:30 PM","Monday: 11:00 AM – 9:30 PM
Tuesday: 11:00 AM – 9:30 PM
Wednesday: 11:00 AM – 9:30 PM
Thursday: 11:00 AM – 9:30 PM
Friday: 11:00 AM – 9:30 PM
Saturday: 11:00 AM – 9:30 PM
Sunday: 11:00 AM – 9:30 PM"
2025-04-24T13:55:00.735802,ChickWow,"1120 West Taylor Street, Chicago",,,0.4,ChIJM8lVFAAtDogRBj9CmjW2NP4,"Monday: 10:00 AM – 12:00 AM
Tuesday: 10:00 AM – 12:00 AM
Wednesday: 10:00 AM – 12:00 AM
Thursday: 10:00 AM – 12:00 AM
Friday: 10:00 AM – 12:00 AM
Saturday: 10:00 AM – 12:00 AM
Sunday: 10:00 AM – 12:00 AM","Monday: 10:00 AM – 12:00 AM
Tuesday: 10:00 AM – 12:00 AM
Wednesday: 10:00 AM – 12:00 AM
Thursday: 10:00 AM – 12:00 AM
Friday: 10:00 AM – 12:00 AM
Saturday: 10:00 AM – 12:00 AM
Sunday: 10:00 AM – 12:00 AM"
2025-04-24T13:55:00.834563,Busy Burger,"1120 West Taylor Street, Chicago",4.4,,0.4,ChIJ9Uqwt-MsDogRRigrKEAscow,"Monday: 10:00 AM – 12:00 AM
Tuesday: 10:00 AM – 12:00 AM
Wednesday: 10:00 AM – 12:00 AM
Thursday: 10:00 AM – 12:00 AM
Friday: 10:00 AM – 12:00 AM
Saturday: 10:00 AM – 12:00 AM
Sunday: 10:00 AM – 12:00 AM","Monday: 10:00 AM – 12:00 AM
Tuesday: 10:00 AM – 12:00 AM
Wednesday: 10:00 AM – 12:00 AM
Thursday: 10:00 AM – 12:00 AM
Friday: 10:00 AM – 12:00 AM
Saturday: 10:00 AM – 12:00 AM
Sunday: 10:00 AM – 12:00 AM"
2025-04-24T13:55:00.941304,Meli Cafe,"301 South Halsted Street, Chicago",4.3,,0.41,ChIJU_Z_6MIsDogRngTg-gO8Hz0,"Monday: 7:00 AM – 2:00 PM
Tuesday: 7:00 AM – 2:00 PM
Wednesday: 7:00 AM – 2:00 PM
Thursday: 7:00 AM – 2:00 PM
Friday: 7:00 AM – 3:00 PM
Saturday: 7:00 AM – 3:00 PM
Sunday: 7:00 AM – 3:00 PM","Monday: 7:00 AM – 2:00 PM
Tuesday: 7:00 AM – 2:00 PM
Wednesday: 7:00 AM – 2:00 PM
Thursday: 7:00 AM – 2:00 PM
Friday: 7:00 AM – 3:00 PM
Saturday: 7:00 AM – 3:00 PM
Sunday: 7:00 AM – 3:00 PM"
2025-04-24T13:55:01.055712,TBK Greektown (Taco Burrito King),"811 West Jackson Boulevard, Chicago",4.1,,0.41,ChIJvw8l0cIsDogRmKcPblLtB9M,"Monday: 10:00 AM – 2:00 AM
Tuesday: 10:00 AM – 2:00 AM
Wednesday: 10:00 AM – 2:00 AM
Thursday: 10:00 AM – 2:00 AM
Friday: 10:00 AM – 3:00 AM
Saturday: 10:00 AM – 3:00 AM
Sunday: 10:00 AM – 2:00 AM","Monday: 10:00 AM – 2:00 AM
Tuesday: 10:00 AM – 2:00 AM
Wednesday: 10:00 AM – 2:00 AM
Thursday: 10:00 AM – 2:00 AM
Friday: 10:00 AM – 3:00 AM
Saturday: 10:00 AM – 3:00 AM
Sunday: 10:00 AM – 2:00 AM"
2025-04-24T13:55:01.209881,7-Eleven,"560 West Grenshaw Street, Chicago",2.6,,0.41,ChIJK1RU9CgtDogRhA7fpvWw9uk,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
